languageCode,glottocode,family_name,classification
quw,tena1240,Quechuan,Quechuan/Colombia-Ecuador Quechua/Ecuadorian Quechua B/Imbabura-Colombia-Oriente Quechua/Colombia-Oriente Quechua/Oriente Quechua/Tena Lowland Quichua
otn,tena1241,Otomanguean,Otomanguean/Western Otomanguean/Otopame-Chinantecan/Otopamean/Otomian/Otomi/Eastern Otomi/Tenango Otomi
dtk,tene1248,Dogon,Dogon/Plains Dogon/Western Plains Dogon/Tengou-Togo Dogon
vkt,teng1267,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Malayic/Nuclear Malayic/Greater Riau-Johoric/Tenggarong Kutai Malay
tes,teng1272,Austronesian,Austronesian/Malayo-Polynesian/Javanesic/Modern Javanese/Tengger
pah,tenh1241,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Tupi-Guarani Subgroup VI/Kawahiva/Nuclear Kawahiva/Central Kawahiva/Tenharim-Parintintin-Diahoi
tqn,teni1238,Sahaptian,Sahaptian/Sahaptin/Southern Sahaptin/Tenino
tns,teni1244,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/St. Matthias/Tenis
tct,tenn1245,Tai-Kadai,Tai-Kadai/Kam-Tai/Kam-Sui/Then-MMS/T'en
tex,tenn1246,Surmic,Surmic/South Surmic/Southwest Surmic/Didinga-Murle/Tennet
tio,teop1238,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Meso Melanesian linkage/New Ireland-Northwest Solomonic linkage/St George linkage/Northwest Solomonic/North Bougainville Oceanic/Nuclear North Bougainville Oceanic/Buka/Saposa-Tinputz/Tinputzic/Teop
tev,teor1240,Austronesian,Austronesian/Malayo-Polynesian/Tanimbar-Bomberai/Teor-Kur/Teor
tep,tepe1278,Uto-Aztecan,Uto-Aztecan/Southern Uto-Aztecan/Tepiman/Tepehuan/Southern Tepehuan/Tepecano
cnt,tepe1279,Otomanguean,Otomanguean/Western Otomanguean/Otopame-Chinantecan/Chinantecan/Central-Eastern Chinantec/Northwestern Chinantec/Chinantec Group II/Tepetotutla Chinantec
cux,tepe1280,Otomanguean,Otomanguean/Eastern Otomanguean/Amuzgo-Mixtecan/Mixtecan/Mixtec-Cuicatec/Cuicatec/Tepeuxila Cuicatec
cte,tepi1241,Otomanguean,Otomanguean/Western Otomanguean/Otopame-Chinantecan/Chinantecan/Central-Eastern Chinantec/Southeastern Chinantec/Chinantec Group IV/Tepinapa Chinantec
ted,tepo1239,Kru,Kru/Greater Western Kru/Western Kru/Grebo-Aizi/Grebo/Ivorian Grebo/Tepo-Plapo/Tepo Krumen
ttr,tera1251,Afro-Asiatic,Afro-Asiatic/Chadic/Biu-Mandara/South Biu-Mandara/Teraic/Western Tera/Tera
tef,tere1272,Austroasiatic,Austroasiatic/Nicobaric/Nuclear Nicobaric/Chowra-Teressa/Teressa
trb,tere1276,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Schouten linkage/Kairiru-Manam/Kairiruic linkage/Kaiep-Terebu/Terebu
twg,tere1277,Timor-Alor-Pantar,Timor-Alor-Pantar/Alor-Pantar/Nuclear Alor-Pantar/West Alor-Straits-Pantar/Kaera-Straits/Blagaric/Tereweng
buo,tere1278,South Bougainville,South Bougainville/Buinic/Buin/Terei
ter,tere1279,Arawakan,Arawakan/Southern Maipuran/Bolivian Arawakan/Terena-Kinikinao-Chane
tec,teri1244,Nilotic,Nilotic/Southern Nilotic/Kalenjin/Central Kalenjin/Plateau Central Kalenjin/Western Plateau Central Kalenjin/Terik
tfr,teri1250,Chibchan,Chibchan/Core Chibchan/Isthmic Chibchan/Western Isthmic Chibchan/Teribe
twu,term1237,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Rote-Meto/Nuclear Rote/Central East Rote/Termanu
tft,tern1247,North Halmahera,North Halmahera/Northern North Halmahera/Ternatean/Ternate
tmg,tern1248,Indo-European,Indo-European/Classical Indo-European/Italic/Latino-Faliscan/Latinic/Imperial Latin/Romance/Italo-Western Romance/Western Romance/Shifted Western Romance/Southwestern Shifted Romance/West Ibero-Romance/Castilic/South Castilic/Ternate-Zamboanga-Cavite/Ternateño
sjt,ters1235,Uralic,Uralic/Saami/Eastern Saami/Peninsular Eastern Saami/Ter Saami
tkg,tesa1236,Austronesian,Austronesian/Malayo-Polynesian/Basap-Greater Barito/Greater Barito linkage/Southeast Barito/Malagasic/Southwestern Malagasic/South West-Central Malagasic/Tesaka Malagasy
keg,tese1238,Temeinic,Temeinic/Tese
twc,tesh1239,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic B/West Chadic B.1/Ngizim-Southwestern Bade/Shira-Southwestern Bade/Shira/Teshenawa
teo,teso1249,Nilotic,Nilotic/Eastern Nilotic/Teso-Lotuxo-Maa/Teso-Turkana/Teso
tll,tete1250,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/North Zaire River/Inner Basin Bantu/Cuvette/Nkutsuic/Tetelaic/Tetela
nhg,tete1251,Uto-Aztecan,Uto-Aztecan/Southern Uto-Aztecan/Corachol-Aztecan/Aztec/Western Nahuatl/Central Nahuatl/Tetelcingo Nahuatl
teb,tete1252,Bookkeeping,Bookkeeping/Tetete
tez,tets1235,Afro-Asiatic,Afro-Asiatic/Berber/Western Berber/Tetserret
tet,tetu1245,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Eastern Timor/Central Timoric A/Tetunic/Tetum
tdt,tetu1246,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Eastern Timor/Central Timoric A/Tetunic/Tetun Dili
tve,teun1241,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Southwest Maluku/Teun-Nila-Serua/Te'un
cut,teut1235,Otomanguean,Otomanguean/Eastern Otomanguean/Amuzgo-Mixtecan/Mixtecan/Mixtec-Cuicatec/Cuicatec/Teutila Cuicatec
